Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Active ingredient (product.metafields.shopify.active-ingredient),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Cosmetic finish (product.metafields.shopify.cosmetic-finish),Cosmetic function (product.metafields.shopify.cosmetic-function),Dispenser type (product.metafields.shopify.dispenser-type),Eye shadow effect (product.metafields.shopify.eye-shadow-effect),Eyebrow enhancer color (product.metafields.shopify.eyebrow-enhancer-color),Face powder color (product.metafields.shopify.face-powder-color),Face powder type (product.metafields.shopify.face-powder-type),Flavor (product.metafields.shopify.flavor),Fragrance level (product.metafields.shopify.fragrance-level),Hair care finish (product.metafields.shopify.hair-care-finish),Heat settings (product.metafields.shopify.heat-settings),Lip gloss effect (product.metafields.shopify.lip-gloss-effect),Lip liner design (product.metafields.shopify.lip-liner-design),Lipstick effect (product.metafields.shopify.lipstick-effect),Makeup shade (product.metafields.shopify.makeup-color-shade),Makeup features (product.metafields.shopify.makeup-features),Mascara effect (product.metafields.shopify.mascara-effect),Moisturizer type (product.metafields.shopify.moisturizer-type),Occasion (product.metafields.shopify.occasion),Package type (product.metafields.shopify.package-type),Plate type (product.metafields.shopify.plate-type),Product benefits (product.metafields.shopify.product-benefits),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Scent (product.metafields.shopify.scent),Season (product.metafields.shopify.season),Skin care effect (product.metafields.shopify.skin-care-effect),Skin care features (product.metafields.shopify.skin-care-features),Skin tone (product.metafields.shopify.skin-tone),Skin undertone (product.metafields.shopify.skin-undertone),Suitable for hair type (product.metafields.shopify.suitable-for-hair-type),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Target gender (product.metafields.shopify.target-gender),Texture (product.metafields.shopify.texture),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
fat-water-niacinamide-pore-refining-toner-serum-with-barbados-cherry,Niacinamide Pore-Refining Toner Serum with Barbados Cherry,"<div class=""css-j7t6go e15t7owz0"" data-comp=""BaseComponent"">
<div class=""css-nq5yop e15t7owz0"" data-comp=""BaseComponent""><span class=""css-1ksgh43 e15t7owz0"" data-comp=""Flag BaseComponent""></span></div>
</div>
<p><span></span>This lightweight toner serum helps reduce shine, minimize pores, and fade dark spots with niacinamide. Packed with vitamin C-rich Barbados Cherry, it brightens your skin, while Australian Lemon Myrtle controls oil and refines pores. Easy to use and perfect for a fresh, glowing look!<span></span></p>
<div>
<div class=""css-1uzy5bx e15t7owz0"" data-comp=""BaseComponent"">
<div><span></span></div>
</div>
</div>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Skin Care > Toners & Astringents > Toners,Skin Care,"",true,Title,Default Title,,,,,,,,,48.1941893125,shopify,deny,manual,16.99,18.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUMTEINTE_39.png?v=1759624155,1,"",false,,,,,,vitamin-c,,brightening,,,,,,,,,,,,,,,,,,plastic-bottle,,,,liquid,,,,,,,,all-skin-types,,,,oz,,11.00,active
avocado-ceramide-recovery-serum,Avocado Ceramide Recovery Serum (Mini),"<p> </p>
<p>Experience calm, hydrated skin with the Avocado Ceramide Recovery Serum (Mini). This gentle, lightweight serum combines avocado extract, ceramides, and allantoin to soothe irritation, strengthen your skin barrier, and lock in moisture. Clinically tested for sensitive skin, it reduces redness and dryness while promoting a healthier, radiant complexion. Free from parabens, sulfates, synthetic dyes, and fragrances, it offers pure, effective care with a delicate natural scent from plant extracts. Perfect for daily use when your skin needs a restorative boost.</p>
<p> </p>
<p> </p>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Serums,Skin Care,"",true,Title,Default Title,,,,,,,,,4.5359237,shopify,deny,manual,11.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUMTEINTE_38.png?v=1759623401,1,"",false,,,ceramides,,,,,,,,,,,,,,,,,,,,,,,,,,,serum,,,soothing; brightening; moisturizing; regenerating; anti-redness,,,,,dry; sensitive; all-skin-types,,,,oz,,8.00,active
dream-lip-kit-mini-lip-plumper-rosewood-glow-rich-mauve,"""Dream Lip Kit"" Mini Lip Plumper Rosewood Glow & Rich Mauve","<p>Get ready to pout perfection with the Dream Lip Kit by MAKEUP BY MARIO! This playful duo features the Moisture Glow Plumping Lip Serum in Rosewood Glow to hydrate and add a subtle plump, paired with the Ultra Suede Sculpting Lip Pencil in Rich Mauve to define and sculpt your lips with a smooth, velvety finish. Perfect for creating bold, irresistible looks that turn heads wherever you go!</p>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Makeup > Lip Makeup,Makeup,"",true,Title,Default Title,,,,,,,,,1.7009713875,shopify,deny,manual,13.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUMTEINTE_37.png?v=1759622267,1,"",false,,,,,,,radiant; glossy; smooth; natural,,,,,,,,,,,,,,,easy-to-apply; moisturizing; hydrating,,,,,,,,,,,,,,,,,,,,oz,,,active
nars-laguna-bronzer-and-after-glow-lip-balm-minis,Bronzer and Glow Lip Balm (Minis),"<p>Get holiday-ready with this limited edition set featuring mini versions of the iconic Laguna Bronzing Powder and Afterglow Lip Balm. Perfect for a sunkissed glow on the go, this duo delivers radiant warmth for your cheeks and lips. Housed in exclusive festive packaging, it’s your perfect travel companion to light up any destination with a playful holiday vibe.</p>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Cosmetic Sets,Makeup,"",true,Title,Default Title,,,,,,,,,3.6,shopify,deny,manual,15.99,24.00,true,true,,,,,'194251023625,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUMTEINTE_35.png?v=1759621555,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,all-skin-types,unisex,,,g,,11.00,active
nars-laguna-bronzer-and-after-glow-lip-balm-minis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_36.png?v=1759621723,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
modern-classic-waterproof-lip-liner,Waterproof Lip Liner,"<p>This waterproof lip liner delivers precise, long-lasting color with a smooth, matte finish that won’t smudge or feather. Designed to define lips beautifully, it also works as a chic matte lipstick. Enriched with shea butter and candelilla wax, it keeps lips hydrated and comfortable throughout the day.</p>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Makeup > Lip Makeup > Lip Liners,Makeup,"",true,Color,nice-neutral,product.metafields.shopify.color-pattern,,,,,,,,0.35,shopify,deny,manual,12.99,,true,true,,,,,'849154062300,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_32.png?v=1759619827,1,"",false,,,,,nice-neutral; beautiful-berry,,matte,,,,,,,,,,,,fixed,,,durable; long-lasting; easy-to-apply; hydrating,,,,,,hydrating; protection; moisturizing,,,,,,,,,,,,creamy; smooth,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_32.png?v=1759619827,g,,,active
modern-classic-waterproof-lip-liner,,,,,,,,,beautiful-berry,,,,,,,,,0.35,shopify,deny,manual,12.99,,true,true,,,,,'849154062331,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_34_f2988977-dce8-4210-9103-95c1c871c239.png?v=1759620741,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_34_f2988977-dce8-4210-9103-95c1c871c239.png?v=1759620741,g,,,
tined-lip-oil,Tined Lip Oil,"<p>Elevate your lip game with Treat-N-Go Tinted Lip Oil in the irresistible shade Top Tier (Barely Red). This 3.8ml treasure delivers a burst of hydration that smooths and plumps, leaving your lips glossy and luscious. Perfect for a splash of shine on its own, a shiny boost over lipstick, or even as an overnight treat, it’s your new on-the-go secret weapon. Pop it in your bag and get ready for instant, kissable radiance anytime!</p>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Makeup > Lip Makeup > Lip Gloss,Makeup,"",true,Color,top-tier,product.metafields.shopify.color-pattern,,,,,,,,3.68543800625,shopify,deny,manual,15.99,,true,true,,,,,'849154001774,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/TOPTIER.png?v=1759616828,1,"",false,,,,,top-tier; finish-line,,glossy,,,,,,,,,,,smoothing; hydrating; softening; plumping,,,,moisturizing; hydrating; easy-to-apply; nourishing,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/TOPTIER.png?v=1759616828,oz,,,active
tined-lip-oil,,,,,,,,,finish-line,,,,,,,,,3.68543800625,shopify,deny,manual,15.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_27.png?v=1759617659,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_27.png?v=1759617659,oz,,,
kajal-longwear-mascara,Kajal Longwear Mascara,"<div class=""ProductSummary"" id=""b46bc3ad-9907-43a6-9a95-88c160f02d7f"" role=""complementary"">
<div class="""">
<div class=""ProductSummary__summary""><br></div>
</div>
</div>
<p>Meet LAURA GELLER’s Kajal Longwear Mascara—the flawless sidekick to your favorite Kajal Longwear Eyeliner. This jet-black mascara boasts a nourishing, long-lasting formula that fuels your lashes with volume and silky softness. Its uniquely shaped brush teases, lifts, and fans out each lash for dazzling length and full-on drama. Build it up without the clumps and enjoy smudge-free, all-day wear that keeps your eyes popping from dawn to dusk. Get ready to bat those bold, beautiful lashes with confidence and flair!</p>
<p><img src=""https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_26.png?v=1759615441"" alt=""""></p>
<div id=""bb5f7945-7101-402b-b8b3-1ad025315d50"" class=""ProductDetail"">
<div class=""ProductDetail__Wrapper"">
<div class=""ProductDetail__Content"">
<div class=""pal-c-Accordion pal-c-Accordion__default pal-c-Accordion--is-active"">
<section class=""pal-c-Accordion__body"" aria-labelledby="""" id="""">
<div class=""pal-c-Accordion__body--inner"">
<div class=""Markdown Markdown--body-2 Markdown--left"" data-test=""markdown"">
<p> </p>
</div>
</div>
</section>
</div>
</div>
</div>
</div>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Makeup > Eye Makeup > Mascaras,Makeup,"",true,Color,black,product.metafields.shopify.color-pattern,,,,,,,,11.9067997125,shopify,deny,manual,23.99,26.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUMTEINTE_25.png?v=1759614972,1,"",false,,,,,black,,,,,,,,,,,,,,,,,easy-to-apply; long-lasting; durable; buildable-coverage,lengthening; thickening; volumizing,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUMTEINTE_25.png?v=1759614972,oz,,,active
gloss-bomb-oil-luminizing-lip-oil-n-gloss,Gloss Bomb Oil Luminizing Lip Oil 'N Gloss,"<p>Gloss Bomb Oil combines a hydrating lip oil with sparkling gloss in bright and neutral shades. It keeps lips moisturized for up to 8 hours with a light, non-sticky feel. The easy-to-use applicator glides on smoothly, leaving a yummy coconut-vanilla scent. Packed with nourishing ingredients, this lip oil gives you a shiny, sparkly finish you'll love.</p>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Makeup > Lip Makeup > Lip Gloss,Makeup,"",true,Color,fussy,product.metafields.shopify.color-pattern,,,,,,,,8.5048569375,shopify,deny,manual,23.00,26.00,true,true,,,,,'840026678483,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUMTEINTE_19.png?v=1759601805,1,"",false,,,,,fussy; fussy-1,,luminous; glossy; shimmer; sparkly,,,,,,,,,,,hydrating; moisturizing; nourishing; plumping; smoothing,,,,easy-to-apply; hydrating; long-lasting; moisturizing,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_23_a92a8acf-c99e-428e-b5cf-e30034b168ef.png?v=1759613612,oz,,15.00,active
gloss-bomb-oil-luminizing-lip-oil-n-gloss,,,,,,,,,fussy-1,,,,,,,,,8.5048569375,shopify,deny,manual,23.00,26.00,true,true,,,,,'8400266784890,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_23_a92a8acf-c99e-428e-b5cf-e30034b168ef.png?v=1759613612,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUMTEINTE_19.png?v=1759601805,oz,,15.00,
all-nighter-vitamin-c-hydrating-setting-spray-copy,Vitamin C Hydrating Setting Spray,"<p>Keep your glow going strong with the travel size Vitamin C Hydrating Setting Spray! This playful powerhouse offers up to 24 hours of waterproof, smudge-proof, and fade-proof wear, all while feeling lightweight and looking naturally flawless. Its ultrafine mist sets and blends powders and creams seamlessly, leaving a soft-focus, skin-like finish. Plus, it’s packed with hydrating ingredients to keep your skin happy and makeup locked in—no cracks, no transfers, just all-day perfection. Shine bright and stay fresh, no matter what your day throws at you!</p>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Makeup > Makeup Finishing Sprays,Makeup,"",true,Title,Default Title,,,,,,,,,113.3980925,shopify,deny,manual,10.00,,true,true,,,,,'360597267070,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUMTEINTE_18.png?v=1759573781,1,"",false,,,,,,,luminous; natural; radiant,,bottle; spray,,,,,,,,,,,,,non-irritating; long-lasting; moisturizing; easy-to-apply; nourishing; high-pigmentation; hydrating,,,,,,,,liquid; spray,,,brightening; moisturizing; anti-redness,,,,,all-skin-types,,,,oz,,7.00,active
la-mer-the-moisturizing-cream,The Ultimate Moisturizing Cream,"<p>A luxurious face cream formulated with to deeply hydrate and revitalize the skin. This elegant moisturizer enhances the skin’s barrier, promoting firmness and a smoother, more radiant complexion. Within hours, skin appears rejuvenated; after two weeks, fine lines visibly diminish, while barrier resilience improves significantly. Continued use over four weeks helps to soften the appearance of forehead lines, wrinkles between the brows, and expression folds, revealing healthier, firmer skin. Ideal for daily use and suitable for all skin tones.</p>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Moisturizers,Skin Care,"",true,Title,Default Title,,,,,,,,,6.80388555,shopify,deny,manual,21.99,35.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUMTEINTE_17.png?v=1759573218,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,all-day,,,,,,cream,,,,,,,,all-skin-types,,,,oz,,19.00,active
metallic-lip-lacuquer,Metallic Lip Lacuquer,"<p>Get ready to shine! This playful lip essential delivers a stunning chrome-like metallic finish in bold pink and purple shades, perfect for creating glamorous, show-stopping looks. Whether you want to keep it sweet and soft or turn up the drama, this lacquer has you covered for day-to-night glow and irresistible allure.</p>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Makeup > Lip Makeup > Lip Gloss,Makeup,"",true,Color,femme-metale,product.metafields.shopify.color-pattern,,,,,,,,4.81941893125,shopify,deny,manual,8.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUMTEINTE_15.png?v=1759571498,1,"",false,,,,,femme-metale,,metallic,,,,,,,,,,,smoothing; coloring; glowing,,,,high-pigmentation; easy-to-apply; long-lasting,,,,,,,,,,,,,,,,,,,,oz,,8.00,active
illuminating-primer-always-an-optimist-collection,Illuminating Primer,"<p>Get ready to glow with the Illuminating Primer. This weightless, silicone-free gel primer is packed with ultra-fine pearls to give your skin a radiant, lit-from-within shine. It cools on contact while smoothing and hydrating, perfect for all skin types—even oily. Plus, it’s free from harsh chemicals, vegan, and cruelty-free, so your skin feels as good as it looks. Shine bright and start your makeup routine with a burst of hydration and glow!</p>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Makeup > Face Makeup > Face Primers,"","",true,Title,Default Title,,,,,,,,,2.8349523125,shopify,deny,manual,24.99,28.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUMTEINTE_13.png?v=1759570605,1,"",false,,,,,,,smooth,,tube,,,,,,,,,,,,c-12-5; beige,non-irritating; hydrating; easy-to-apply,,,,,,,vegan; cruelty-free,gel,,,illuminating; smoothing; moisturizing; hydrating,,,,,all-skin-types; oily,,,,oz,,7.00,active
lucky-chance-blush,Lucky Chance Blush,"<div data-block-type=""@app"" data-block-id=""AOWhvdGlEV2h5ak9RW__easy_tabs_product_tabs_easytabs_block_product_widget_xkejwW-1"" class=""product-info__block-item"">
<div class=""shopify-block shopify-app-block"" id=""shopify-block-AOWhvdGlEV2h5ak9RW__easy_tabs_product_tabs_easytabs_block_product_widget_xkejwW"">
<div data-et-settings-multiw=""0"" data-et-settings-placement="""" data-et-block-type=""section"" data-et-type=""product"" data-block-id=""AOWhvdGlEV2h5ak9RW__easy_tabs_product_tabs_easytabs_block_product_widget_xkejwW"" class=""easytabs-block-container"">
<div data-et-tabs-width=""325"" id=""1759568550705"" data-et-rs="""" data-et-ao=""1"" data-et-wt=""0"" data-et-flx=""0"" data-et-amp=""1"" data-et-sta=""0"" data-et-cbr=""3"" data-et-cbw=""1"" data-et-min-width=""0"" data-et-auto-accordion=""0"" class=""easytabs-container tab-widget-AOWhvdGlEV2h5ak9RW__easy_tabs_product_tabs_easytabs_block_product_widget_xkejwW easytabs-extension-container tab-widget-1759568550705 easytabs-inited"">
<div class=""easytabs-holder easytabs-accordion"">
<div class=""easytabs-contents"">
<p>Discover the Lucky Chance Blush—your new go-to for a pop of color that feels as light as a breeze. With 10 everyday shades boasting a silky, blendable formula and bold pigmentation, this blush makes it easy to glow effortlessly. Plus, it's cruelty-free, vegan, and free from parabens, sulfates, phthalates, and gluten. Get ready to play with color and catch your lucky glow every day!</p>
</div>
<div class=""easytabs-undertabs-holder"">
<div class=""easytabs-under-tabs""><img src=""https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_12.png?v=1759570194"" alt=""""></div>
</div>
</div>
</div>
</div>
</div>
</div>
<div data-block-type=""share-buttons"" data-block-id=""79942526-f0be-4a0e-a0a2-2406c8b5c759"" class=""product-info__block-item""><button class=""share-buttons share-buttons--native link-faded""><span class=""smallcaps text-xxs"">Share</span></button></div>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Makeup > Face Makeup > Blushes & Bronzers,Makeup,"",true,Color,melody,product.metafields.shopify.color-pattern,,,,,,,,4.5,shopify,deny,manual,8.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUMTEINTE_10.png?v=1759570404,1,"",false,,,,,melody,,matte; radiant; luminous; natural,,case,,,,,,,,,,,,,long-lasting; easy-to-apply; buildable-coverage; non-irritating; high-pigmentation,,,,,,natural; brightening; smoothing; radiant; coloring,cruelty-free; vegan; phthalate-free; paraben-free; gluten-free; sulfate-free,highlighter,,,,,,,,all-skin-types,,,,g,,,active
lucky-chance-blush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_11.png?v=1759570404,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
love-spell-powder-blush,Love Spell Powder Blush,"<div class=""product-info__block-item"" data-block-id=""AOWhvdGlEV2h5ak9RW__easy_tabs_product_tabs_easytabs_block_product_widget_xkejwW-1"" data-block-type=""@app"">
<div id=""shopify-block-AOWhvdGlEV2h5ak9RW__easy_tabs_product_tabs_easytabs_block_product_widget_xkejwW"" class=""shopify-block shopify-app-block"">
<div class=""easytabs-block-container"" data-block-id=""AOWhvdGlEV2h5ak9RW__easy_tabs_product_tabs_easytabs_block_product_widget_xkejwW"" data-et-type=""product"" data-et-block-type=""section"" data-et-settings-placement="""" data-et-settings-multiw=""0"">
<div class=""easytabs-container tab-widget-AOWhvdGlEV2h5ak9RW__easy_tabs_product_tabs_easytabs_block_product_widget_xkejwW easytabs-extension-container tab-widget-1759568550705 easytabs-inited"" data-et-auto-accordion=""0"" data-et-min-width=""0"" data-et-cbw=""1"" data-et-cbr=""3"" data-et-sta=""0"" data-et-amp=""1"" data-et-flx=""0"" data-et-wt=""0"" data-et-ao=""1"" data-et-rs="""" id=""1759568550705"" data-et-tabs-width=""325"">
<div class=""easytabs-holder easytabs-accordion"">
<div class=""easytabs-contents"">
<div class=""easytabs-content-item easytabs-active easytabs-before-active"" data-et-marker=""tabs-love-spell-powder-blush-010-cupids-touch-3"" data-et-handle=""tabs-product-description"">
<div class=""easytabs-content-holder"" role=""region"" data-tab-labelledby=""easytabs-tab-label-1759568550705-0"" data-acc-labelledby=""easytabs-acc-label-1759568550705-0"" aria-hidden=""false"" id=""easytabs-content-1759568550705-0"" aria-labelledby=""easytabs-acc-label-1759568550705-0"">
<p> </p>
</div>
</div>
Brighten up your cheeks with the MOIRA Love Spell Powder Blush, available in 16 fabulous shades perfect for every skin tone! Choose from 5 shimmering shades for a radiant pop or 11 matte tones for a soft, natural glow or daring flush. This light and blendable blush stays vibrant all day with a smooth, velvety feel. Cruelty-free, vegan, and free from parabens, sulfates, phthalates, and gluten—love your skin while looking amazing! Simply apply to your cheek apples for a playful, fresh finish—wear it solo or over your fave makeup.
<div class=""easytabs-content-item easytabs-active"" data-et-marker=""tabs-love-spell-powder-blush-010-cupids-touch-4"" data-et-handle=""tabs-ingredients"">
<div class=""easytabs-content-holder"" role=""region"" data-tab-labelledby=""easytabs-tab-label-1759568550705-1"" data-acc-labelledby=""easytabs-acc-label-1759568550705-1"" aria-hidden=""false"" id=""easytabs-content-1759568550705-1"" aria-labelledby=""easytabs-acc-label-1759568550705-1"">
<span></span><br>
</div>
</div>
</div>
<div class=""easytabs-undertabs-holder"">
<div class=""easytabs-under-tabs""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_8.png?v=1759569675""></div>
</div>
</div>
</div>
</div>
</div>
</div>
<div class=""product-info__block-item"" data-block-id=""79942526-f0be-4a0e-a0a2-2406c8b5c759"" data-block-type=""share-buttons""><button class=""share-buttons share-buttons--native link-faded""><span class=""smallcaps text-xxs"">Share</span></button></div>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Makeup > Face Makeup > Blushes & Bronzers,Makeup,"",true,Color,cupids-touch,product.metafields.shopify.color-pattern,,,,,,,,4.5,shopify,deny,manual,8.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUMTEINTE_7.png?v=1759568724,1,"",false,,,,,cupids-touch,,matte,,case,,,,,,,,,,,,,long-lasting; easy-to-apply; buildable-coverage; non-irritating,,,,,,natural; brightening; smoothing; radiant,cruelty-free; vegan; phthalate-free; paraben-free; gluten-free; sulfate-free,highlighter,,,,,,,,all-skin-types,,,,g,,,active
rare-beauty-by-selena-gomez-mini-blush-and-luminize-trio,Mini Blush and Luminize Trio,"<p>Add a pop of playful color and glow with the mini blush and luminize Trio. Inspired by a viral beauty hack, this set includes Soft Pinch Liquid Blush in Virtue, a subtle beige peach, and the exclusive Beloved, a rich muted oxblood—perfect for a soft, long-lasting flush. The Positive Light Liquid Luminizer in Enliven adds a peachy-gold shimmer for an instant radiant boost. Free from harsh chemicals and cruelty-free, this trio keeps your skin happy and glowing all day long.</p>
<p> </p>
<p><img src=""https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_6.png?v=1759568069"" alt=""""></p>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Makeup > Face Makeup > Blushes & Bronzers,Makeup,"",true,Title,Default Title,,,,,,,,,9.35534263125,shopify,deny,manual,37.99,43.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUMTEINTE_5.png?v=1759567767,1,"",false,,,,,beloved; enliven; virtue,,luminous; radiant; shimmer,,bottle,,,,,,,,,,,,,non-irritating; long-lasting; easy-to-apply; buildable-coverage,,,,,,natural; coloring; radiant,cruelty-free,liquid,,,,,,,,all-skin-types,,,,oz,,,active
precisely-my-brow-pencil-waterproof-eyebrow-definer,Brow Pencil Waterproof Eyebrow Definer,"<p>Get oh-so-defined, flawless brows with this lux, Brow Pencil Waterproof Eyebrow Definer! Designed to shape and fill with just a few effortless strokes, this pencil comes in shades perfect for every hair color. Say goodbye to shapeless brows and hello to precision that lasts all day—rain or shine. Waterproof and smooth, it’s your new secret weapon for those wow-worthy arches!</p>
<p><img src=""https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_3.png?v=1759566243"" alt=""""></p>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Makeup > Eye Makeup > Eyebrow Enhancers,Makeup,"",true,Color,05 black-brown,,,,,,,,,0.05669904625,shopify,deny,manual,24.99,28.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0766/5254/4213/files/benefitbrow.png?v=1759566130,1,"",false,,,,,,,smooth,,,,5-warm-black-brown,,,,,,,,,,,easy-to-apply,,,,,,,,pencil,,,,,,,,,,,,oz,,8.00,active
bom-dia-bright™-jet-set,Bom Dia Bright™ Jet Set,"<p>Start your day the bright way with Bom Dia Bright™ Jet Set! This fun trio includes a clarifying AHA BHA Body Wash that gently exfoliates with fruit AHAs and salicylic acid, a body cream packed with Vitamin C to even out skin tone and fade dark spots, plus a playful perfume mist blending black amber plum, jasmine blooms, and vanilla woods. Perfectly sized for travel, it’s your go-to kit for glowing, happy skin on the move!</p>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Bath & Body Gift Sets,Fragrance,"",true,Scent,cheirosa-40,product.metafields.shopify.scent,,,,,,,,226.796185,shopify,deny,manual,31.99,34.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0766/5254/4213/files/delsol40.png?v=1759563565,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cheirosa-40,,,,,,,all-skin-types,female,,,lb,,24.00,active
watermelon-glow-niacinamide-hue-drops-serum-teinte,Watermelon Glow Niacinamide Hue Drops Serum Teinte,"<p>Get your glow on-the-go with this travel-friendly set featuring sheer, tinted serums that brighten, hydrate, and perfect your skin. Infused with niacinamide to smooth texture and fade dark spots, watermelon extract and hyaluronic acid to quench dryness, plus jojoba oil coated pigments for a fresh, dewy flush that won’t clog pores. Perfect for all skin types, it tackles unevenness, dullness, and dryness with a splash of healthy radiance—no nasties included!</p>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Serums,Skin Care,"",true,Title,Default Title,,,,,,,,,14.1747615625,shopify,deny,manual,11.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_1.png?v=1759562711,1,"",false,,,niacinamide; hyaluronic-acid,,,,,,,,,,,,,,,,,,,,,,,,,,,liquid; serum,,,brightening; moisturizing; uneven-skin-tone; anti-dark-spot; smoothing; hydrating; illuminating,,,,,all-skin-types,,,,oz,,8.00,active
